월,2000년,2001년,2002년,2003년,2004년,2005년,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년
1,4.0,4.3,2.4,2.0,2.2,2.8,2.4,2.4,2.2,2.2,2.9,2.2,2.3,2.0
2,4.5,4.5,2.5,2.1,2.6,2.9,2.6,2.4,2.6,2.5,3.0,2.7,2.6,2.1
3,3.9,4.1,2.5,2.2,2.8,2.8,2.7,2.2,2.4,2.9,2.8,2.6,2.4,2.3
4,3.6,3.3,2.1,2.1,2.3,2.6,2.5,2.0,2.2,2.6,2.4,2.3,2.1,2.2
5,3.4,2.7,2.0,2.2,2.2,2.5,2.2,1.9,2.0,2.8,2.2,2.0,1.8,2.1
6,3.3,2.4,1.8,2.2,2.0,2.5,2.3,1.9,1.9,2.5,2.2,2.1,2.1,2.1
7,3.1,2.6,1.8,2.2,2.3,2.5,2.3,1.9,2.0,2.3,2.4,2.0,1.8,2.1
8,3.2,2.9,2.1,2.5,2.6,2.5,2.5,2.2,2.1,2.5,2.3,2.0,2.0,2.0
9,3.2,2.5,1.8,2.2,2.3,2.5,2.1,1.9,2.0,2.3,2.7,2.0,2.1,1.7
10,3.1,2.3,1.7,2.2,2.1,2.7,2.1,1.9,2.0,2.2,2.4,2.0,1.8,1.7
11,3.2,2.2,1.6,2.2,2.2,2.1,2.0,1.9,1.9,2.3,2.1,1.9,1.9,1.6
12,3.5,2.2,1.7,2.2,2.2,2.2,2.1,1.9,2.1,2.3,2.2,1.9,1.7,1.8
평균,3.5 ,3.0 ,2.0 ,2.2 ,2.3 ,2.6 ,2.3 ,2.0 ,2.1 ,2.5 ,2.5 ,2.1 ,2.1 ,2.0 
