월,2000년,2001년,2002년,2003년,2004년,2005년,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년
1,4.2,3.7,3.2,2.8,3.1,3.5,3.2,3.4,3.1,3.5,3.9,3.6,2.8,3.3
2,4.5,4.3,3.4,2.9,3.1,3.7,3.5,3.4,3.1,3.8,4.0,4.2,3.4,3.5
3,4.2,4.1,3.2,2.9,2.9,3.4,3.5,3.6,3.1,3.9,3.8,4.1,3.4,3.2
4,3.5,3.4,2.9,2.9,3.2,3.4,2.8,3.4,3.0,4.1,3.8,3.9,3.3,3.1
5,3.6,3.0,2.9,2.9,2.8,3.1,2.7,3.2,3.2,3.7,3.5,3.2,3.1,3.0
6,3.3,3.0,2.8,2.9,2.7,3.0,2.9,3.1,2.8,3.8,3.4,3.4,3.0,3.0
7,3.1,3.0,2.6,2.9,3.2,2.9,2.8,3.0,2.9,3.6,3.4,3.1,2.9,3.0
8,3.4,3.2,3.1,3.1,3.3,3.3,3.1,3.2,3.2,3.7,3.6,3.4,2.8,3.1
9,3.6,2.7,2.6,3.1,3.1,3.8,3.1,2.9,3.3,3.3,3.5,3.1,2.7,2.5
10,3.2,2.8,2.9,3.2,3.1,3.6,2.9,3.0,3.3,3.3,3.4,2.9,2.7,2.6
11,3.4,2.7,2.9,3.0,3.0,3.1,2.9,2.8,3.4,3.4,3.0,2.9,2.8,2.6
12,3.6,2.8,2.7,3.0,3.3,3.1,2.7,2.9,3.1,3.4,3.2,2.8,2.7,2.7
평균,3.6 ,3.2 ,2.9 ,3.0 ,3.1 ,3.3 ,3.0 ,3.2 ,3.1 ,3.6 ,3.5 ,3.4 ,3.0 ,3.0 
