월,2000년,2001년,2002년,2003년,2004년,2005년,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년
1,10.1,8.4,8.4,8.4,8.7,8.4,7.7,7.3,6.9,7.7,8.7,8,7.7,7.3
2,9.6,9,8,8.8,9.1,8.7,8.5,7.6,7.4,8.5,9.8,8.3,8.3,9
3,8.6,8.7,7.4,8.2,8.7,8.5,8.5,7.4,7.6,8.7,8.9,9.3,8.3,8.6
4,7.7,7.2,6.7,7.5,7.8,8,8,7.6,7.4,8,8.4,8.7,8.6,8.1
5,7,6.9,6.3,7.5,8,7.2,7.2,7,6.9,7.6,6.3,7.4,8.2,7.3
6,6.6,6.8,6,7.2,7.4,7.4,7.7,7.2,7.4,7.9,7.6,7.3,7.6,7.7
7,6.6,6.6,6.3,7.3,7.3,7.8,7.8,7.2,7,8,8.2,6.9,7,7.8
8,6.8,6.7,6.2,7.2,7.5,7.4,7.4,6.5,7,8.1,7.1,6.2,6.5,7.6
9,6.6,6.4,5.6,6.7,7,7.1,7.2,6.9,6,7.7,7.2,6.1,6.5,7.8
10,6.4,6.5,6.1,7.2,7.4,7.2,7.8,6.5,6.7,7.4,7.1,6.7,6.9,7.9
11,6.6,7.2,5.9,7.8,7.5,7.3,7.4,7.1,6.6,7.4,6.4,6.7,6.7,7.5
12,7.4,7.8,6.7,8.3,8.2,7.5,7.5,7.1,7,7.3,7.4,7.4,7.2,8
평균,7.5 ,7.4 ,6.6 ,7.7 ,7.9 ,7.7 ,7.7 ,7.1 ,7.0 ,7.9 ,7.8 ,7.4 ,7.5 ,7.9 
